Name,State,decimalLatitude,decimalLongitude,year
Pinus rigida,New Jersey,40.379627,-74.338796,2017
Pinus rigida,Massachusetts,41.914683,-70.068519,2017
Pinus rigida,Maryland,38.981017,-76.900218,2017
Pinus rigida,Maryland,38.815106,-76.718975,2017
Pinus rigida,Massachusetts,42.364989,-71.258663,2017
Pinus rigida,New Jersey,40.219652,-74.312872,2017
Pinus rigida,Maryland,38.980548,-76.900509,2017
Pinus rigida,Vermont,44.50197,-73.146586,2017
Pinus rigida,Maine,43.408908,-70.561408,2017
Pinus rigida,Massachusetts,42.36548,-71.258701,2017
Pinus rigida,Massachusetts,42.36548,-71.258701,2017
Pinus rigida,Massachusetts,42.364989,-71.258663,2017
Pinus rigida,Maine,44.092211,-70.991849,2017
Pinus rigida,Maine,43.609386,-70.799544,2017
Pinus rigida,Maine,44.311925,-68.34509,2017
Pinus rigida,Maine,43.69227,-70.974507,2017
Pinus rigida,Massachusetts,42.558094,-72.524431,2017
Pinus rigida,Maine,43.545586,-70.472968,2017
Pinus rigida,Maine,43.88005,-69.959782,2017
Pinus rigida,Ohio,41.203473,-81.699881,2017
Pinus rigida,Pennsylvania,39.737177,-75.94669,2017
Pinus rigida,New York,40.622024,-73.625471,2017
Pinus rigida,New York,40.622204,-73.625636,2017
Pinus rigida,New York,40.749591,-73.152083,2017
Pinus rigida,New York,40.622129,-73.625188,2017
Pinus rigida,New Jersey,40.377049,-74.340701,2017
Pinus rigida,New Jersey,40.36202,-74.251329,2017
Pinus rigida,New Jersey,40.467062,-74.31633,2017
Pinus rigida,West Virginia,38.916618,-79.254454,2017
Pinus rigida,West Virginia,38.866229,-79.334695,2017
Pinus rigida,Massachusetts,42.335064,-72.463921,2017
Pinus rigida,Massachusetts,42.344856,-72.227928,2017
Pinus rigida,New York,42.717081,-73.881836,2017
Pinus rigida,Pennsylvania,39.732386,-76.033495,2017
Pinus rigida,Pennsylvania,41.108766,-75.426642,2017
Pinus rigida,Pennsylvania,41.108865,-75.423211,2017
Pinus rigida,Massachusetts,42.495424,-71.480201,2017
Pinus rigida,Massachusetts,42.497483,-71.48158,2017
Pinus rigida,New York,42.715084,-73.890541,2017
Pinus rigida,New York,40.893356,-72.848967,2017
Pinus rigida,Connecticut,41.755046,-72.485883,2017
Pinus rigida,North Carolina,35.1061,-82.689697,2017
Pinus rigida,North Carolina,35.098835,-82.698021,2017
Pinus rigida,Maine,44.323494,-68.1875,2017
Pinus rigida,Pennsylvania,39.786091,-79.178147,2017
Pinus rigida,Connecticut,41.367578,-72.585687,2017
Pinus rigida,New York,42.241937,-74.012854,2017
Pinus rigida,Massachusetts,41.397474,-70.539315,2017
Pinus rigida,New York,41.327571,-74.010555,2017
Pinus rigida,New Jersey,39.700197,-74.230282,2017
