gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2576412311	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39286522	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		New Jersey			28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.44037	-74.271601							2020-02-27T09:13:00Z	27	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39286522			2020-02-27T19:04:39Z	CC_BY_NC_4_0	Edward J Norton	Edward J Norton			2020-03-16T20:25:21.939Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576403285	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39287764	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		New Jersey			28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.427393	-74.276073							2020-02-27T10:38:00Z	27	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39287764			2020-02-28T00:34:13Z	CC_BY_NC_4_0	Edward J Norton	Edward J Norton			2020-03-16T20:25:27.282Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576390319	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39287178	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		New Jersey			28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.435115	-74.26956							2020-02-27T09:57:00Z	27	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39287178			2020-02-28T00:37:21Z	CC_BY_NC_4_0	Edward J Norton	Edward J Norton			2020-03-16T20:25:22.806Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2576379516	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39380296	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.26498	-72.225313	8.0						2020-02-29T17:55:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39380296			2020-03-01T01:00:43Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:43.562Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576375540	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39376219	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.279224	-72.213343	8.0						2020-02-29T16:15:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39376219			2020-02-29T23:30:32Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:35.220Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576374518	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39377081	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.26401	-72.224064	15.0						2020-02-29T16:42:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39377081			2020-02-29T23:51:17Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:51.653Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576360520	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39376043	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.277795	-72.213704	4.0						2020-02-29T16:12:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39376043			2020-02-29T23:26:54Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:25:27.225Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576351534	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39430247	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		New York			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.71122	-73.871406	24.0						2020-03-01T15:43:28Z	1	3	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39430247			2020-03-02T00:54:12Z	CC_BY_NC_4_0	Liz Ricci	Liz Ricci			2020-03-16T20:25:41.513Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576349461	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39379779	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.264523	-72.227045	15.0						2020-02-29T17:47:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39379779			2020-03-01T00:48:38Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:31.705Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576348466	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39375844	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.280592	-72.212944	15.0						2020-02-29T16:01:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39375844			2020-02-29T23:22:09Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:25:25.381Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
